"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"IM","GRID","Our Lady Of Divine Vacations Oparanadim","IMSEHM09","Tertiary","Standard","Faith Based","Formal","School","82970271-adfb-435e-b53c-89dfb8596fd3","u_fc_poi_school.54809",,,"POINT (7.2414883 5.593115)"
"LA","GRID","Moder Montessori International London","LASEOA03","Tertiary","Standard","Private","Formal","School","8298bbcf-3def-44e5-bd53-a265c7cf151b","u_fc_poi_school.54811",,,"POINT (3.55608 6.4602)"
"EK","GRID","Afe Babalola Universityadoekitinigeria","EKSADO01","Tertiary","University","Private","Formal","School","83075b1e-4678-41a3-ab00-dcd2d6b17ba0","u_fc_poi_school.54990","29","3000","POINT (5.3015933 7.60059)"
"GO","GRID","Learning Improvement Programme Lip","GMSBLG10","Tertiary","Standard","Public","Formal","School","8349e0e1-4d1b-4779-8e7c-400989011adc","u_fc_poi_school.55102",,,"POINT (11.68131 9.967295)"
"SO","NMIS","Labas Islamia School","62302","Tertiary","Adult Education","Private","Religious","School","83d44d77-f362-4df9-a961-9cc5e6aca426","u_fc_poi_school.55342",,,"POINT (4.9640582 12.6656854)"
"EK","GRID","Derock International Model College","EKSADO09","Tertiary","Standard","Private","Formal","School","840cc5f5-9847-4669-b5ca-db644a08020a","u_fc_poi_school.55434",,,"POINT (5.2395083 7.6402617)"
"LA","GRID","Lagos State Polytechnic","LASOIO13","Tertiary","Standard","Public","Formal","School","842c83af-ef21-4dc2-919c-c24fb1ea6871","u_fc_poi_school.55487",,,"POINT (3.3340046 6.5305511)"
"LA","GRID","Trinity University","LASLMD15","Tertiary","University","Private","Formal","School","844d0f79-29fd-4b1b-9361-971c9979851c","u_fc_poi_school.55537",,,"POINT (3.3838026 6.5059774)"
"LA","GRID","Lagos Business School Pan Atlantic University","LASEOA18","Tertiary","University","Private","Formal","School","85a5b9cc-34d3-423d-9d0c-d6901bc720fe","u_fc_poi_school.56056",,,"POINT (3.60272 6.47419)"
"TA","GRID","Taraba State Polytechnic Bali","TRSBAL10","Tertiary","Tertiary","Public","Formal","School","85f0dea7-ce96-4180-ad2b-0c276be19e90","u_fc_poi_school.56182",,,"POINT (10.39874 7.6163433)"
"CR","GRID","Cross River College Of Education Akamkpa","CRSKAM06","Tertiary","Standard","Public","Formal","School","85ffba47-6ef7-4f0d-a892-59c30b052daa","u_fc_poi_school.56202","140","4600","POINT (8.35757 5.2548233)"
