"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"KN","NMIS","Mairuwa Nurul Huda Islamiya Daura","KN2201","Primary","Primary","Public","Religious","School","9ec5b5af-05ff-47c4-980d-264cdec3a109","u_fc_poi_school.66648",,,"POINT (7.981921 11.72727)"
"KN","NMIS","Ulumul Quran","KN2705","Primary","Primary","Public","Religious","School","9f0314be-03d2-4f26-a7f3-1c31f1050b88","u_fc_poi_school.66761",,,"POINT (8.497012 11.82532)"
"KN","NMIS","Unguwar Makama Islamiyya","KN4005","Primary","Primary","Public","Religious","School","9f3a6970-d860-4fe0-9f20-1589277c8a5c","u_fc_poi_school.66833",,,"POINT (8.060262 12.28348)"
"BA","NMIS","Madaralsatil Islam Primary and Nursery School","BA1905","Primary","Standard","Private","Religious","School","9f7dc6ca-0db8-4d20-8849-011f3e4e8ae7","u_fc_poi_school.66952",,,"POINT (9.7886936 11.2256407)"
"KN","NMIS","Langwami Islamiyya","KN3706","Primary","Primary","Public","Religious","School","9fd67304-2645-4153-99cf-cb982811cc2e","u_fc_poi_school.67107",,,"POINT (9.341812 11.56733)"
"KN","NMIS","Tsamiya Islamiyya","KN2910","Primary","Primary","Public","Religious","School","9ff78a95-ec0b-4c5d-a787-e308b799576b","u_fc_poi_school.67164",,,"POINT (8.48916 12.30734)"
"NI","OSGOF","Islamiyya School Matari","NISBMG03","Other","Standard","Faith Based","Religious","School","9ffa7766-fff2-4b4b-8bf4-8fc5245a2332","u_fc_poi_school.67172",,,"POINT (5.92043 10.33212)"
"KN","NMIS","Tarbiyatul Islamiyya Kadafa","KN2204","Primary","Primary","Public","Religious","School","a0a059d8-3616-43ad-abd2-e5ded8c33772","u_fc_poi_school.67431",,,"POINT (7.937008 11.80072)"
"KN","NMIS","Takalmawa Islamiyya","KN4002","Primary","Primary","Public","Religious","School","a0b7c5d2-7e1d-45df-8e5e-4f77f5a4900d","u_fc_poi_school.67464",,,"POINT (7.996475 12.20567)"
"BR","OSGOF","Deribe Islamic School","11311","Other","Standard","Faith Based","Religious","School","a0e5fb10-f377-467d-b74d-8528d1317539","u_fc_poi_school.67539",,,"POINT (13.1757455 11.8639655)"
"KN","NMIS","Shababuddin Islamiya","KN1509","Primary","Primary","Public","Religious","School","a14f982b-396d-4bd8-a476-36da265297c8","u_fc_poi_school.67685",,,"POINT (8.398243 11.74067)"
"SO","NMIS","Madarasatul S Salam","61309","Primary","Pre Primary","Private","Religious","School","a1ced3d9-6fe9-471b-a396-b5c81c1fe5c9","u_fc_poi_school.67899",,,"POINT (6.3956307 13.4709574)"
"KN","NMIS","Lama Primary Islamiyya","KN1402","Primary","Primary","Public","Religious","School","a1fba46b-793b-40bf-a608-04abbd916761","u_fc_poi_school.67966",,,"POINT (8.873177 11.50731)"
"KN","NMIS","Fatahul Rabbani","KN3101","Other","Other","Public","Religious","School","a22b718c-fceb-482a-9f96-77de2176063d","u_fc_poi_school.68039",,,"POINT (8.582326 12.01921)"
"KN","NMIS","Maahad Sheikh Ahmad Tijjani LitaAlimic Quran Wad Diratil Islamiyya","KN1810","Primary","Standard","Public","Religious","School","a25547af-8a36-4c86-ab36-8316da6a5836","u_fc_poi_school.68109",,,"POINT (8.499791 11.99156)"
"SO","NMIS","Kaurataba Islamia School","62307","Tertiary","Adult Education","Private","Religious","School","a27bfdfe-a7f5-4e7a-a98e-bf74cff6fa7d","u_fc_poi_school.68181",,,"POINT (5.0917014 12.7373863)"
"YO","OSGOF","Quranic School","70304","Other","Standard","Faith Based","Religious","School","a27eab9d-56db-40d7-852c-ef2e16a7b380","u_fc_poi_school.68184",,,"POINT (12.05681 11.63826)"
"KN","NMIS","Madinatul Quran Primary","KN3102","Primary","Primary","Public","Religious","School","a29ba643-59fa-4c2c-b2ec-d9b843ccfbe4","u_fc_poi_school.68235",,,"POINT (8.548437 12.02992)"
"SO","NMIS","Nurul Quran","61304","Primary","Pre Primary","Public","Religious","School","a3043d7d-602d-4c86-85be-879f930488b0","u_fc_poi_school.68410",,,"POINT (6.2855454 13.443941)"
