,id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teachers,no_of_students,global_id,geometry
1032,u_fc_poi_school.56910,SO,NMIS,Kofar Kanbe Islamiyya,61505,Primary,Primary,Private,Religious,School,,,87abb1d7-417c-4d88-9300-92dfa64434c3,POINT (4.845904 13.036915)
1033,u_fc_poi_school.56917,PL,OSGOF,Baptist Pastor School,PLSJJN12,Secondary,Standard,Faith Based,Religious,School,,,87adef58-3f50-40d8-b781-bd0ef17032f6,POINT (8.9438 9.90732)
1034,u_fc_poi_school.56947,KN,NMIS,Government Girls Islamic Senior Secondary School Tsamiya Kara,KN1705,Secondary,Senior,Public,Religious,School,,,87bc433b-7891-4774-8e70-be33389c6851,POINT (8.724802 12.03959)
1035,u_fc_poi_school.56960,SO,NMIS,Makarantar Mallam Yakubu Kyadawa,60406,Primary,Pre Primary,Private,Religious,School,,,87c68d51-70f8-4f89-b09e-0edccd38c803,POINT (5.5975932 13.7641257)
1036,u_fc_poi_school.56993,KN,NMIS,Hayatuddeen Kazawa,KN3011,Other,Other,Public,Religious,School,,,87d9f679-57c4-4e03-a284-33140f7e17dc,POINT (8.670353 12.16232)
1037,u_fc_poi_school.57008,SO,NMIS,Mallamawa Islamiyya School,60807,Primary,Primary,Public,Religious,School,,,87df88bd-763a-4207-bfec-24792cffdea0,POINT (5.2937496 13.7075409)
1038,u_fc_poi_school.57094,KN,NMIS,Kafi Agalawa Islamiyya School,KN2805,Primary,Primary,Public,Religious,School,,,88132899-a62b-460a-9099-4870940e1316,POINT (8.36426 11.87887)
1039,u_fc_poi_school.57122,NI,NMIS,Rugan Aliyu Primary School,NISAGA02,Primary,Primary,Public,Religious,School,,,8822dac0-a6ba-44d4-bf6d-72d2e4ee226d,POINT (6.4139567 9.045199999999999)
1040,u_fc_poi_school.57200,KN,NMIS,Ahamad Muhammad,KN1803,Other,Other,Public,Religious,School,,,884f91b4-9f80-49ee-b2dc-1bac5d164136,POINT (8.484444999999999 11.93926)
1041,u_fc_poi_school.57231,BR,NMIS,Gubio Alhuda Islamiya Pramary School,10904,Primary,Primary,Public,Religious,School,,,88664328-ee3e-4e66-b5f6-3d26fdec1733,POINT (12.7842001 12.4980967)
