,id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teachers,no_of_students,global_id,geometry
490,u_fc_poi_school.59603,EB,GRID,National Open University Of Nigeria,EBSUGB10,Tertiary,University,Public,Formal,School,,,8dfb4936-0aee-4c3d-9fd9-076ea10fa5a4,POINT (8.097808300000001 6.328355)
491,u_fc_poi_school.59652,KD,OSGOF,Kaduna State University School Of Basic Studies,KD0902,Tertiary,University,Unknown,Formal,School,,,8e1afa61-ee80-419a-8326-8121c69eef4e,POINT (7.4317929 10.5062898)
492,u_fc_poi_school.59724,EK,GRID,Providence Group Of School,EKSADO12,Tertiary,Standard,Private,Formal,School,23.0,53.0,8e3d73e3-0f72-4eda-94f3-839357098402,POINT (5.24986 7.671755)
493,u_fc_poi_school.59837,EB,GRID,Evangel University,EBSEDA11,Tertiary,University,Faith Based,Formal,School,,,8e8c0684-3f35-4195-a726-4d8ccf9e5526,POINT (7.7282267 5.9028967)
494,u_fc_poi_school.59854,EN,NMIS,Girls Technical College Obollo Afor,ENSBLF05,Tertiary,Adult Education,Public,Formal,School,,,8e9406ec-5241-4c37-b2fd-14fd30e774e6,POINT (7.510646 6.923833)
495,u_fc_poi_school.59996,TA,GRID,Mambilla Baptist College Of Health Gembu,TRSSDA01,Tertiary,Tertiary,Private,Formal,School,,,8edddbe7-c02d-47fe-89e4-3ea7bd9017cf,POINT (11.2921815 6.7224877)
496,u_fc_poi_school.60028,GO,GRID,Future Assured Academy,GMSAKK02,Tertiary,Standard,Public,Formal,School,,,8eeec983-c3c1-4ac6-95a8-2e0f29114acf,POINT (11.155055 10.2694117)
497,u_fc_poi_school.60075,EB,GRID,African Thinkers College Of Education,EBSAKL17,Tertiary,Adult Education,Public,Formal,School,,,8f0a7210-b5f0-4636-9629-abf2dee0bf56,POINT (8.119798299999999 6.33624)
498,u_fc_poi_school.60095,IM,GRID,Imo State University,IMSKWE13,Tertiary,University,Public,Formal,School,,,8f1b3c4a-f84b-4e6e-86e1-07d318b0c0a7,POINT (7.2674917 5.780745)
499,u_fc_poi_school.60098,BY,OSGOF,Niger Delta University Yenagoa,BYSYEN01,Tertiary,University,Public,Formal,School,,,8f1c7957-6254-42b9-a428-2c6ad09a07b0,POINT (6.26759 4.92958)
500,u_fc_poi_school.60169,FC,NMIS,Women Empowerment Centre Kuchibuyi,FCTBWR02,Tertiary,Adult Education,Public,Formal,School,,,8f4e3f1f-1461-403c-8545-710b58dbc576,POINT (7.344783 9.20762)
501,u_fc_poi_school.60237,AD,NMIS,Junior Vocational Training School,ADSYLA03,Tertiary,Adult Education,Public,Formal,School,,,8f7e81b3-200e-48fb-8b3d-42d914103976,POINT (12.487618 9.189565)
502,u_fc_poi_school.60348,LA,GRID,National Postgraduate Medical College,LASOJO13,Tertiary,Standard,Public,Formal,School,,,8fc7d608-77c1-4d10-87b4-a6b3894c82a8,POINT (3.14513 6.49391)
503,u_fc_poi_school.60352,OG,eHA Polio,National Open Unversity,OGSYES05,Tertiary,Adult Education,Public,Formal,School,,,8fca72f4-766d-42c1-b30b-05e7a6fd74d5,POINT (3.0034817 6.8857933)
504,u_fc_poi_school.60367,KD,OSGOF,Ahmadu Bello University Zaria,KD1906,Tertiary,University,Unknown,Formal,School,,,8fd14c14-1b39-4649-a3ba-0e24e720acde,POINT (7.6573973 11.1545131)
505,u_fc_poi_school.60581,AN,NMIS,Sacred Heart of Jesus College Isingwu Oraifite,ANSZBL07,Tertiary,Adult Education,Public,Formal,School,,,904a107b-02eb-41c1-8cc9-734a9247bf58,POINT (6.81972 6.007665)
506,u_fc_poi_school.60748,EK,GRID,National Open University Of Nigeria Ekan Branch Okeero Local Government,EKSMBA02,Tertiary,University,Public,Formal,School,,,90b6d005-9803-4e2b-adf5-d8b8c9ef341f,POINT (5.09828 8.0329967)
507,u_fc_poi_school.60796,KT,NMIS,Hizburrahim Islamiyya,43101,Tertiary,Adult Education,Public,Religious,School,,,90d1a0c5-3c65-471f-9ec4-2978b1c18c1e,POINT (7.0368129 11.413604)
508,u_fc_poi_school.61027,GO,OSGOF,Discover A World Of Knowledge,GMSAKK02,Tertiary,Adult Education,Public,Informal,School,,,915d564b-255c-4c7b-b1a0-86edf8e36aff,POINT (11.20713 10.26999)
509,u_fc_poi_school.61066,ED,Proxy Logistics,College of Education,EDSAKA11,Tertiary,Adult Education,State Government,Formal,School,,,916cd68d-4777-4bf6-95dc-e65366f81ab5,POINT (5.5930406 6.4927869)
510,u_fc_poi_school.61193,EN,GRID,Madonna University Akpugo Campus,ENSMGL11,Tertiary,University,Private,Formal,School,,,91bfd9c8-1aff-4f28-b9bc-35c9e2a9c124,POINT (7.6166517 6.3951183)
511,u_fc_poi_school.61464,BY,GRID,Issac Jasper Boro College Of Education Sagbama,BYSSAG12,Tertiary,Adult Education,Public,Formal,School,,,92831a63-7506-431b-9e38-c3fe0c2d1e36,POINT (6.1938914 5.1513076)
512,u_fc_poi_school.61472,EK,GRID,Corner Stone International College,EKSIJO07,Tertiary,Standard,Private,Formal,School,18.0,154.0,9286bb4f-662f-4c49-9467-2b3e4db29e89,POINT (5.0281567 7.8346083)
513,u_fc_poi_school.61507,EK,GRID,Campbell International School,EKSADO12,Tertiary,Standard,Private,Formal,School,,,929f2303-07ac-4b08-a145-c0d8cfc35827,POINT (5.23767 7.6471217)
514,u_fc_poi_school.61767,EN,GRID,Igga Technical College,ENSUMU14,Tertiary,Adult Education,Public,Formal,School,30.0,450.0,93433592-9c7a-4e6c-b574-c2447667007e,POINT (6.9488333 6.7241483)
515,u_fc_poi_school.61832,GO,GRID,Under Construction Gstc Nyuwar,GMSBLG08,Tertiary,Standard,Public,Formal,School,,,93673c45-48ad-49be-a347-ead0d66269d3,POINT (11.7524933 9.7552833)
516,u_fc_poi_school.62091,EK,GRID,Mannobi Group Of Schools,EKSIME10,Tertiary,Standard,Private,Formal,School,9.0,52.0,9401eee5-d367-4459-9c2b-860495c52ec4,POINT (5.2323933 7.9575883)
517,u_fc_poi_school.62131,GO,GRID,Ihyaus Sunnah Academy Gombe,GMSGME02,Tertiary,Standard,Public,Formal,School,,,9413c702-d6fd-4dac-ae06-ebc81014e2af,POINT (11.1898483 10.2749183)
518,u_fc_poi_school.62291,EB,GRID,Pacific Institute For Catering and Hotel Management,EBSUGB10,Tertiary,Adult Education,Private,Formal,School,,,9473553c-58f8-4ff4-84af-4894a0663b9a,POINT (8.1060283 6.3450083)
519,u_fc_poi_school.62308,GO,GRID,Nurul Islam Academy,GMSGME10,Tertiary,Standard,Public,Formal,School,,,947e80f9-5eb3-4175-9be5-646bc37e876e,POINT (11.1711683 10.2718033)
